productId;productReference;link;itemId;imageUrl
530729;32.02.0253;https://marciamello.vtexcommercestable.com.br/saia-longa-estampada-32-02-0253/p;571179;https://marciamello.vteximg.com.br/arquivos/ids/175800/32020253.10_01.jpg?v=636709728917500000
530901;32.02.0256;https://marciamello.vtexcommercestable.com.br/saia-longa-estampada-com-ziper-lateral-32-02-0256/p;572588;https://marciamello.vteximg.com.br/arquivos/ids/176486/32020256.10_01.jpg?v=636755498763100000
530347;32.02.0234;https://marciamello.vtexcommercestable.com.br/saia-longa-fenda-donatta-32-02-0234/p;566044;https://marciamello.vteximg.com.br/arquivos/ids/174175/32020234.218_01.jpg?v=636529882284530000
530902;32.02.0257;https://marciamello.vtexcommercestable.com.br/saia-longa-lisa-paola-32-02-0257/p;572602;https://marciamello.vteximg.com.br/arquivos/ids/176539/32020257.02_01.jpg?v=636758112440430000
529893;32.07.0025;https://marciamello.vtexcommercestable.com.br/saia-mid-32-07-0025/p;561563;https://marciamello.vteximg.com.br/arquivos/ids/172075/32070025.02_1.jpg?v=636263064349430000
530672;32.07.0030;https://marciamello.vtexcommercestable.com.br/saia-midi-32-07-0030/p;570417;https://marciamello.vteximg.com.br/arquivos/ids/175418/32070030.02_01.jpg?v=636666740453870000
530700;32.07.0059;https://marciamello.vtexcommercestable.com.br/saia-midi-botoes-laterais-32-07-0059/p;570876;https://marciamello.vteximg.com.br/arquivos/ids/175722/32070059.02_01.jpg?v=636709637434170000
530749;32.07.0063;https://marciamello.vtexcommercestable.com.br/saia-midi-com-amarracao-estampada-32-07-0063/p;571302;https://marciamello.vteximg.com.br/arquivos/ids/175898/32070063.10_01.jpg?v=636711446367170000
530748;32.07.0062;https://marciamello.vtexcommercestable.com.br/saia-midi-com-amarracao-listrada-32-07-0062/p;571299;https://marciamello.vteximg.com.br/arquivos/ids/175895/32070062.236_01.jpg?v=636711443902100000
530289;32.07.0026;https://marciamello.vtexcommercestable.com.br/saia-midi-com-fendas-aventine-32-07-0026/p;565452;https://marciamello.vteximg.com.br/arquivos/ids/173526/32070026.218_1.jpg?v=636432252203500000
529029;32.07.0007;https://marciamello.vtexcommercestable.com.br/saia-midi-com-pregas-529029/p;552965;https://marciamello.vteximg.com.br/arquivos/ids/168161/32070007.32_1.jpg?v=635833605671200000
529992;32.07.0028;https://marciamello.vtexcommercestable.com.br/saia-midi-elysee-32-07-0028/p;562663;https://marciamello.vteximg.com.br/arquivos/ids/172404/32070028.259_1.jpg?v=636288127163430000
530053;32.02.0228;https://marciamello.vtexcommercestable.com.br/saia-midi-nob-hill-32-02-0228/p;563286;https://marciamello.vteximg.com.br/arquivos/ids/172680/32020228.217_1.jpg?v=636319027642700000
529951;32.07.0036;https://marciamello.vtexcommercestable.com.br/saia-midi-veludo-estampado-milani-32-07-0036/p;562179;https://marciamello.vteximg.com.br/arquivos/ids/175424/32070036.221_01.jpg?v=636666746614970000
530477;32.02.0244;https://marciamello.vtexcommercestable.com.br/saia-pala-fenda-sf-32-02-0244/p;567590;https://marciamello.vteximg.com.br/arquivos/ids/174541/32020244.01_01.jpg?v=636577647007400000
530389;32.07.0027;https://marciamello.vtexcommercestable.com.br/saia-plissada-helena-32-07-0027/p;566542;https://marciamello.vteximg.com.br/arquivos/ids/174310/32070027.176_01.jpg?v=636534468142530000
530079;32.07.0035;https://marciamello.vtexcommercestable.com.br/saia-plissada-venice-32-07-0035/p;563465;https://marciamello.vteximg.com.br/arquivos/ids/172791/32070035.33_1.jpg?v=636342499701130000
529293;32.07.0010;https://marciamello.vtexcommercestable.com.br/saia-recortes-529293/p;555203;https://marciamello.vteximg.com.br/arquivos/ids/169394/32070010.487_1.jpg?v=635965790888530000
529901;32.06.0050;https://marciamello.vtexcommercestable.com.br/saia-recortes-marbella-32-06-0050/p;561661;https://marciamello.vteximg.com.br/arquivos/ids/172099/32060050.33_1.jpg?v=636263832448200000
530024;32.05.0008;https://marciamello.vtexcommercestable.com.br/saia-renda-32-05-0008/p;563006;https://marciamello.vteximg.com.br/arquivos/ids/172547/32050008.02_1.jpg?v=636305213301200000
529505;32.02.0208;https://marciamello.vtexcommercestable.com.br/saia-tie-dye-thais-32-02-0208/p;557019;https://marciamello.vteximg.com.br/arquivos/ids/170978/32020208.05_1.jpg?v=636262974938770000
